keyword,source,author,title,description,content,publishedAt,url
usaid funding,Al Jazeera English,Shola Lawal,Why are humanitarian crises in African countries so ignored?,The latest Most Neglected Crises report on world's most invisible humanitarian emergencies lists African nations first.,"African countries have again topped the list of the worlds most ignored crises, with nearly all of the worst-funded humanitarian challenges located in the continent in 2024, according to a new study … [+12532 chars]",2025-06-03T08:05:37Z,https://www.aljazeera.com/news/2025/6/3/why-are-humanitarian-crises-in-african-countries-so-ignored
usaid funding,Al Jazeera English,Al Jazeera,‘Not really leaving’: Trump bids goodbye to Elon Musk at White House event,"The billionaire's exit from DOGE throws the panel's future into uncertainty, but Musk says he will remain an 'adviser'.","United States President Donald Trump has bid goodbye to Elon Musk at a White House event marking the billionaires departure from his role in government.
Speaking from the Oval Office on Friday, Trum… [+4818 chars]",2025-05-30T21:14:01Z,https://www.aljazeera.com/news/2025/5/30/not-really-leaving-trump-bids-goodbye-to-elon-musk-at-white-house-event
usaid funding,Forbes,"Sara Dorn, Forbes Staff, 
 Sara Dorn, Forbes Staff
 https://www.forbes.com/sites/saradorn/",Musk And Trump Will Hold Press Conference Today—Here’s What He Accomplished,Musk and Trump will hold a joint press conference at 1:30 p.m.,"Elon Musk departs the White House Friday after a brief but wildly controversial run marked by contradictory reports of his success leading the Department of Government Efficiency.
Elon Musk waves as… [+4563 chars]",2025-05-30T17:42:56Z,https://www.forbes.com/sites/saradorn/2025/05/30/musk-and-trump-will-hold-press-conference-today-heres-what-he-accomplished/
usaid funding,Forbes,"Paul Weinstein Jr., Contributor, 
 Paul Weinstein Jr., Contributor
 https://www.forbes.com/sites/paulweinstein/",More Colleges Freeze Hiring And Suspend Salary Increases,Johns Hopkins joins a growing list of schools cutting wage increases.,"Colleges and universities continue to look for ways to cut spending because of the Trump Administrations policies towards higher education.
One June 2nd, Johns Hopkins University announced a set of … [+3777 chars]",2025-06-07T03:18:27Z,https://www.forbes.com/sites/paulweinstein/2025/06/06/more-colleges-freeze-hiring-and-suspend-salary-increases/
usaid funding,Daily Signal,George Caldwell,House Rescissions Seen as a Make-Or-Break Chance to Codify DOGE,"House Republicans on Thursday will face perhaps the greatest test yet of whether they mean business about decreasing the size of the federal government. The... Read More
The post House Rescissions Seen as a Make-Or-Break Chance to Codify DOGE appeared first o…","House Republicans on Thursday will face perhaps the greatest test yet of whether they mean business about decreasing the size of the federal government.
The House Republican Conference will vote on … [+4251 chars]",2025-06-11T21:50:09Z,https://www.dailysignal.com/2025/06/11/house-rescissions-make-break-chance-codify-doge/
usaid funding,Rolling Stone,Tim Dickinson,Elon Musk’s Reign of Corruption Chronicled in Elizabeth Warren Report,A new report by Sen. Elizabeth Warren itemizes 130 dodgy dealings by the man who calls himself the “Dogefather”,As Elon Musk departs the Trump White House — at least officially — a new Senate report examines how the world’s richest man leveraged his access to the levers of federal power to boost his myriad per… [+7129 chars],2025-06-03T13:30:00Z,http://www.rollingstone.com/politics/politics-features/elon-musk-corruption-elizabeth-warren-report-1235353085/
usaid funding,NPR,Deirdre Walsh,Public media funding up in the air as House prepares to vote on claw backs,public-media-funding-up-in-the-air-as-house-prepares-to-vote-on-claw-backs,The House of Representatives is expected to approve legislation Thursday to claw back two years of federal funding for public media outlets. President Trump has asked Congress for this rescission. He… [+11529 chars],2025-06-12T09:00:25Z,https://www.npr.org/2025/06/12/g-s1-72223/public-media-funding-up-in-the-air-as-house-prepares-to-vote-on-claw-backs
usaid funding,Naturalnews.com,Laura Harris,"Former USAID contracting officer, three corporate executives plead guilty to $550M federal contract bribery scheme","Former USAID contracting officer Roderick Watson and three corporate executives pleaded guilty to a decade-long bribery scheme that secured over $550 million in federal contracts through corruption. The scheme involved Apprio, Inc. and PM Consulting Group LLC…",<ul><li>Former USAID contracting officer Roderick Watson and three corporate executives pleaded guilty to a decade-long bribery scheme that secured over $550 million in federal contracts through corr… [+5539 chars],2025-06-17T06:00:00Z,https://www.naturalnews.com/2025-06-17-usaid-official-executives-plead-guilty-bribery-scheme.html
usaid funding,Breitbart News,"Elizabeth Weibel, Elizabeth Weibel",Trump Administration Sends $9.4 Billion Rescissions Package to House,"The Trump administration sent a $9.4 billion rescissions package to the House of Representatives that would eliminate ""wasteful foreign aid spending"" at the Department of State and USAID, House Speaker Mike Johnson (R-LA) revealed.
The post Trump Administrati…","The Trump administration sent a $9.4 billion rescissions package to the House of Representatives that would eliminate “wasteful foreign aid spending” at the Department of State and USAID, House Speak… [+2994 chars]",2025-06-04T03:18:10Z,https://www.breitbart.com/politics/2025/06/03/trump-admin-9-4-billion-rescissions-package-house/
usaid funding,The Daily Caller,Mariane Angela,‘How Is It They Get Away With This?’ Fmr State Dept Official Describes How Taxpayer Funds Fueled Global Heroin Trade,"Mike Benz revealed Tuesday what he describes as a decades-long, taxpayer-funded drug economy that funneled U.S. resources into heroin production.","A former State Department official revealed Tuesday what he describes as a decades-long, taxpayer-funded drug economy that funneled U.S. resources into heroin production under the guise of foreign ai… [+4232 chars]",2025-05-21T02:48:48Z,https://dailycaller.com/2025/05/20/mike-benz-usaid-heroin-poppy/
usaid funding,Al Jazeera English,Al Jazeera Staff,South Africa’s Ramaphosa to visit Trump: Can they fix tricky relations?,The two countries have clashed over alleged persecution of white South Africans and Israel's war on Gaza.,"South Africas President Cyril Ramaphosa will begin a state visit to the United States on Monday in what his government describes as an attempt to reset the relationship between the two countries, whi… [+10276 chars]",2025-05-19T06:40:59Z,https://www.aljazeera.com/news/2025/5/19/south-africas-ramaphosa-to-visit-trump-can-they-fix-tricky-relations
usaid funding,MSNBC,Michael Steele,Republicans have to decide if they stand with DOGE's death and destruction,Republicans in Congress will soon face a vote on whether they stand by Elon Musk and the Trump administration’s unlawful cuts to lifesaving foreign aid.,"Congress will soon face a vote that goes far beyond dollars and cents. Its a vote about who lives, who dies and whether the United States still recognizes the difference.
Republican lawmakers have l… [+5871 chars]",2025-06-12T10:00:00Z,https://www.msnbc.com/opinion/msnbc-opinion/musk-doge-usaid-congress-republicans-rcna212382
usaid funding,CBC News,,"Radio Free Asia reporters sought safety in U.S. Now, they fear they're in danger","For decades, U.S. presidents proclaimed a mission to spread democracy, but Trump is now slashing such initiatives. That has put staff at Radio Free Asia, a news service that has angered Asia's autocracies, at risk of losing more than just their jobs.","An ongoing U.S. retreat from defending liberal democracy has left some allies in danger of being exposed, stranded on a metaphorical battlefield.
Under U.S. President Donald Trump's hard-nosed forei… [+10053 chars]",2025-05-29T08:00:00Z,https://www.cbc.ca/news/world/radio-free-asia-cuts-1.7542901
usaid funding,Memeorandum.com,,6/10/25 ☀️ AM: ... But the reconciliation fight is impacting what's already ... (Punchbowl News),"Punchbowl News:
6/10/25 ☀️ AM: … But the reconciliation fight is impacting what's already going to be a brutal partisan struggle over FY2026 government spending.  DOGE funding cuts, tens of thousands of federal employees laid off, a $9 billion-plus rescission…","memeorandum is an auto-generated summary of the stories that US political commentators are discussing online right now.
Unlike sister sites Techmeme and Mediagazer, it is not a human-edited news out… [+72 chars]",2025-06-10T10:10:02Z,https://www.memeorandum.com/250610/p9
usaid funding,New York Post,Ryan King,"House passes bill to claw back $9.4B, codify cuts to PBS and NPR","Republicans had faced backlash last month after tech mogul Elon Musk publicly backed complaints that Congress hadn't codified any of his DOGE work, despite promising to do so.","House Republicans narrowly passed a bill Thursday to cut $9.4 billion worth of federal spending, effectively codifying several actions by the Department of Government Efficiency (DOGE).
The so-calle… [+3395 chars]",2025-06-12T19:59:20Z,https://nypost.com/2025/06/12/us-news/house-passes-bill-to-claw-back-9-4b-codify-cuts-to-pbs-and-npr/
usaid funding,Dailycoffeenews.com,Howard Bryman,"Oregon Coffee Leaders Speak Up Over Tariffs, Funding Cuts and Political Inaction","At a roundtable with U.S. Rep. Suzanne Bonamici last week in Portland, Oregon, coffee business leaders expressed frustration and a sense of urgency over tariffs, USAID cuts and other...","U.S. Rep. Suzanne Bonamici (center, green jacket) at a roundtable last week at Buckman Coffee Factory in Portland, Oregon. Daily Coffee News photo by Howard Bryman.
At a roundtable with U.S. Rep. Su… [+8688 chars]",2025-06-04T13:10:25Z,https://dailycoffeenews.com/2025/06/04/oregon-coffee-leaders-speak-up-over-tariffs-funding-cuts-and-political-inaction/
usaid funding,Forbes,"David Rosowsky, Contributor, 
 David Rosowsky, Contributor
 https://www.forbes.com/sites/davidrosowsky/",A Thousand Cuts To Higher Education: When ‘To What End?’ Gives Way To ‘What To End?’ (And ‘Where To Next?’),Threats and changes are happening so quickly and there are so many to track that the impacts are becoming incalculable. Higher ed is on the verge of “throw up the hands” moment that neither the institutions nor the nation can afford.,"Authors note: This essay is not political, either overtly or in its underlying message. It is not partisan, nor is it part of a lobbying effort. It is (I hope) neither defensive nor offensive. Rather… [+15582 chars]",2025-06-13T19:57:45Z,https://www.forbes.com/sites/davidrosowsky/2025/06/13/a-thousand-cuts-to-higher-education-when-to-what-end-gives-way-to-what-to-end-and-where-to-next/
usaid funding,Raw Story,Sarah K. Burris,The View audience goes nuts as host lists Trump acts more important than Biden decline,"Co-hosts of ""The View"" were split on a new book from CNN's Jake Tapper that questions President Joe Biden's mental acuity while he was in office — bxut the audience cheered loudly when Joy Behar began listing off more ""important"" things that have happened in …","Co-hosts of ""The View"" were split on a new book from CNN's Jake Tapper that questions President Joe Biden's mental acuity while he was in office bxut the audience cheered loudly when Joy Behar began … [+1396 chars]",2025-05-20T16:37:19Z,https://www.rawstory.com/trump-biden-cognition/
usaid funding,Thenation.com,Alfred McCoy,President Trump Is Demolishing America’s Global Soft Power,"Alfred McCoy



Trump’s sharp cuts to humanitarian aid will ensure that the United States’ soft power crumbles, doing lasting damage to its international standing.




The post President Trump Is Demolishing America’s Global Soft Power appeared first on The…","Trumps sharp cuts to humanitarian aid will ensure that the United States soft power crumbles, doing lasting damage to its international standing.
Ad Policy
Employees and supporters protest outside … [+17643 chars]",2025-06-03T09:00:00Z,https://www.thenation.com/?post_type=article&p=558356
usaid funding,The Daily Caller,Hailey Gomez,Mike Benz Reveals To Tucker Carlson ‘Worst Of The Worst Offender’ That Government Refuses To Cut,"Mike Benz told Tucker Carlson he believes the ""worst of the worst offenders"" still receiving funding is the National Endowment for Democracy (NED).",Former State Department official Mike Benz told Daily Caller News Foundation co-founder Tucker Carlson on Tuesday that he believes the “worst of the worst offenders” still receiving funding is the Na… [+4209 chars],2025-05-28T05:43:12Z,https://dailycaller.com/2025/05/28/mike-benz-tcuker-carlson-offered-government-organization/
usaid funding,Raw Story,Krystina Alarcon Carroll,'Keeping mum': Ex-GOP head reveals former colleagues ashamed of bill's 'cruelty',"House Republicans are about to vote on “who lives, who dies, and whether the United States still recognizes the difference,” according to an MSNBC column from ex-RNC chairman Michael Steele.The co-host of ""The Weeknight"" said, “President Donald Trump is askin…","House Republicans are about to vote on who lives, who dies, and whether the United States still recognizes the difference, according to an MSNBC column from ex-RNC chairman Michael Steele.
The co-ho… [+1990 chars]",2025-06-12T12:12:01Z,https://www.rawstory.com/musk-2672358031/
usaid funding,Newsweek,James Bickerton,Bono Sparks MAGA Backlash After Joe Rogan Appearance,"Bono repeated a claim that President Donald Trump's USAID cuts may have been a factor in 300,000 deaths.",Irish rock star Bono has come under fire from supporters of President Donald Trump's Make America Great Again (MAGA) movement after citing an academic who said the administration's cuts to the U.S. A… [+3585 chars],2025-05-31T13:42:26Z,https://www.newsweek.com/bono-sparks-maga-backlash-during-joe-rogan-appearance-2079295
usaid funding,Researchbuzz.me,ResearchBuzz,"National Shade Map, USAID Funding Cuts Impact, Google AI Errors, More: Wednesday ResearchBuzz, June 4, 2025","NEW RESOURCES UCLA: National shade map from UCLA and American Forests launched to combat deadly urban heat. “The Shade Map, now available through American Forests’ Tree Equity Score platform, shows where shade […]","NEW RESOURCES 
UCLA: National shade map from UCLA and American Forests launched to combat deadly urban heat. “The Shade Map, now available through American Forests Tree Equity Score platform, shows … [+5869 chars]",2025-06-04T12:41:23Z,https://researchbuzz.me/2025/06/04/national-shade-map-usaid-funding-cuts-impact-google-ai-errors-more-wednesday-researchbuzz-june-4-2025/
usaid funding,TheBlaze,Christopher Bedford,Republicans to watch when Trump’s $9.4 billion cut comes to the Senate,"In an age of unprecedented national debt, $9.4 billion is just a drop in a bucket, coming in at about 27 bucks per American. But still — still! — it might not pass the U.S. Senate, where it’s headed after the House of Representatives’ yes vote on Thursday. Th…","In an age of unprecedented national debt, $9.4 billion is just a drop in a bucket, coming in at about 27 bucks per American. But still still! it might not pass the U.S. Senate, where its headed after… [+7922 chars]",2025-06-13T15:52:25Z,https://www.theblaze.com/columns/opinion/republicans-to-watch-when-trumps-9-4-billion-cut-comes-to-the-senate
usaid funding,Nakedcapitalism.com,Yves Smith,"Musk Might Be Gone, But Watchdogs Warn Trump/DOGE Carnage Will Continue","""Musk's departure ....does not actually change.... DOGE's mission to destroy everything that protects the public from....rapacious oligarchs""","Yves here. Not surprisingly, the crowd-pleasing bits of DOGE agency-wrecking, like the claim that the USAID, particularly its regime change operating, were being shuttered, proved to be abjectly fals… [+4864 chars]",2025-05-31T10:07:45Z,https://www.nakedcapitalism.com/2025/05/musk-might-be-gone-but-watchdogs-warn-trump-doge-carnage-will-continue.html
usaid funding,Daily Signal,George Caldwell,House GOP Passes DOGE Cuts by a Whisker After Chaos on Floor,"The House Republicans successfully passed a rescissions package to cut $9.4 billion from foreign aid and public broadcasting Thursday, in the first major codification of... Read More
The post House GOP Passes DOGE Cuts by a Whisker After Chaos on Floor appear…","The House Republicans successfully passed a rescissions package to cut $9.4 billion from foreign aid and public broadcasting Thursday, in the first major codification of President Donald Trumps effor… [+3122 chars]",2025-06-12T20:01:08Z,https://www.dailysignal.com/2025/06/12/house-gop-passes-doge-cuts-by-a-whisker-after-chaos-on-floor/
usaid funding,Forbes,"Danielle Nierenberg, Contributor, 
 Danielle Nierenberg, Contributor
 https://www.forbes.com/sites/daniellenierenberg/",Food Safety Depends On Every Link In The Supply Chain,Almost 1 in 10 people globally fall ill from contaminated food every year. Making our food supply safer for communities depends on everyone.,"Colorful fish and vegetables can be purchased at a public market.
getty
For communities to be nourished, their food supply must be safe to eat.
This sounds obvious, but its worth repeating, becaus… [+4445 chars]",2025-06-06T13:55:41Z,https://www.forbes.com/sites/daniellenierenberg/2025/06/06/food-safety-depends-on-every-link-in-the-supply-chain/
usaid funding,Thenation.com,Adam Weinstein,Trump Is Blowing Up Soft Power,"Adam Weinstein



And he’s shooting America’s diplomats in the foot.




The post Trump Is Blowing Up Soft Power appeared first on The Nation.","And hes shooting Americas diplomats in the foot.
Ad Policy
Joseph Nye, the father of the concepts of soft power, smart power and hard power, speaks by videoconference at the Paris Defence and Strat… [+10956 chars]",2025-06-11T09:30:00Z,https://www.thenation.com/article/world/trump-diplomacy-power-aid-development/
usaid funding,Defense One,Meghann Myers,"AFRICOM asks for help deterring terrorism, after Trump pulls aid to allied countries",Groups like al-Shabaab see USAID withdrawal as an opportunity.,Deterring the spread of terrorism in Africa and countering Chinas push to influence African governments got a lot harder after the Trump administration cut off billions in foreign aid earlier this ye… [+3933 chars],2025-05-29T21:15:17Z,https://www.defenseone.com/threats/2025/05/africom-asks-help-deterring-terrorism-after-trump-pulls-aid-allied-countries/405684/
usaid funding,Inside Higher Ed,Elizabeth Redden,Trump’s Trade School Trojan Horse,"Trump’s Trade School Trojan Horse

 


 
Elizabeth Redden

Mon, 06/16/2025 - 03:00 AM

Higher ed must resist attempts to pit one sector against another, Rachel Lipson and Robert Schwartz write.
 
 Byline(s)

 
 Rachel Lipson

 Robert Schwartz","In one of his all-too-frequent rants on Truth Social last month, President Trump posted, I am considering taking Three Billion Dollars of Grant Money away from a very antisemitic Harvard, and giving … [+5054 chars]",2025-06-16T07:00:00Z,https://www.insidehighered.com/opinion/views/2025/06/16/dont-fall-trumps-trade-school-trojan-horse-opinion
usaid funding,Naturalnews.com,Willow Tohi,The depths of corruption: GOP blasts Bidenâs NGO funding âmoney launderingâ in explosive House hearing,"House Republicans accuse the Biden administration of misdirecting billions in taxpayer funds to NGOs championing progressive causes like open borders and climate activism. Key lawmakers, including Reps. Marjorie Taylor Greene, Eric Burlison and Brandon Gill, …",<ul><li>House Republicans accuse the Biden administration of misdirecting billions in taxpayer funds to NGOs championing progressive causes like open borders and climate activism.</li><li>Key lawmake… [+6503 chars],2025-06-06T06:00:00Z,https://www.naturalnews.com/2025-06-06-gop-blasts-bidens-ngo-funding-money-laundering.html
usaid funding,Forbes,"Danielle Chemtob, Forbes Staff, 
 Danielle Chemtob, Forbes Staff
 https://www.forbes.com/sites/daniellechemtob/",Forbes Daily: Israel Strikes Iran As Trump Pushes For A Nuclear Deal,"Friday's Forbes Daily newsletter covers  Trump's Gold Card visa red flags, Chime's shining IPO, Larry Ellison becomes the No. 2 richest, Trump's crypto fortune & more.",President Donald Trump has touted his $5 million Gold Card visa as a way to raise trillions of dollars for the U.S. But a new website launching the initiative doesnt look or feel like a legitimate go… [+8594 chars],2025-06-13T12:15:52Z,https://www.forbes.com/sites/daniellechemtob/2025/06/13/forbes-daily-israel-strikes-iran-as-trump-pushes-for-a-nuclear-deal/
usaid funding,Dianeravitch.net,dianeravitch,Glenn Kessler Fact-Checks Marco Rubio’s Claim that No One Died When Foreign Aid Stopped,Glenn Kessler is a professional fact-checker for The Washington Post. He recently reviewed a controversy about the consequences of the Trump administration’s shutdown of USAID. Democrats said that people have died because of the cuts; Secretary of State Marco…,Glenn Kessler is a professional fact-checker for The Washington Post. He recently reviewed a controversy about the consequences of the Trump administrations shutdown of USAID. Democrats said that peo… [+11619 chars],2025-06-06T13:00:00Z,https://dianeravitch.net/2025/06/06/glenn-kessler-fact-checks-marco-rubios-claim-that-no-one-died-when-foreign-aid-stopped/
usaid funding,New York Magazine,Ed Kilgore,Vought Asks Congress to Rubber-Stamp DOGE Cuts,"Russell Vought asks Congress to rubber-stamp DOGE cuts via rescissions. With Elon Musk gone, the next phase of Team Trump’s effort to gut federal programs is now underway.",Elon Musks departure from DOGE signals a winding down of the Trump administrations most notorious scheme for blowing up the federal bureaucracy and generating savings to be used for tax-cut goodies (… [+4617 chars],2025-06-04T21:12:32Z,http://nymag.com/intelligencer/article/vought-asks-congress-to-rubber-stamp-doge-cuts.html
usaid funding,Daily Signal,Elizabeth Troutman Mitchell,EXCLUSIVE: State Department Rebuts Democrat Claims That AIDS Program Isn’t Operational,"FIRST ON THE DAILY SIGNAL—Congressional Democrats, with the help of corporate media, are pushing a false narrative about the Trump administration’s cuts to foreign aid... Read More
The post EXCLUSIVE: State Department Rebuts Democrat Claims That AIDS Program …","FIRST ON THE DAILY SIGNALCongressional Democrats, with the help of corporate media, are pushing a false narrative about the Trump administration’s cuts to foreign aid programs, according to informati… [+3701 chars]",2025-06-11T14:00:00Z,https://www.dailysignal.com/2025/06/11/exclusive-state-department-rebuts-democrat-claims-that-aids-program-isnt-operational/
usaid funding,Nakedcapitalism.com,Yves Smith,Trump’s Liquidation of U.S Global Leadership,Some geopolitical aspects of how Trump's mazimixation of his personal power comes at the expense of the US,"Yves here, It is striking to see the degree to which Trump is all about maximizing his shows of personal power, no matter what it costs the US economically or in terms of international position. What… [+18838 chars]",2025-05-27T07:00:05Z,https://www.nakedcapitalism.com/2025/05/trumps-liquidation-of-u-s-global-leadership.html
usaid funding,Vanity Fair,Bess Levin,Elon Musk No Longer the Most Hated Man in Washington (Because He’s Leaving),The richest man in the world says goodbye.,"Elon Musks tenure in Washington is coming to an end after just 130 days. On Tuesday, he wrote on X that his scheduled time as a special government employee was over, saying, the @DOGE mission will on… [+3217 chars]",2025-05-29T19:06:52Z,https://www.vanityfair.com/news/story/elon-musk-no-longer-the-most-hated-man-in-washington
usaid funding,Nakedcapitalism.com,Conor Gallagher,Links 6/12/2025,"Today's daily links, including ominous signs of war with Iran, ICE targeting unions, and reefer madness in Texas.","This Wildcat Helped Create the House Cat and Is Now at Risk Because of It ZME Science
Ranchers may have to relearn how to fight an old enemy the New World screwworm Harvest Public Media
Blind Man B… [+8105 chars]",2025-06-12T10:45:31Z,https://www.nakedcapitalism.com/2025/06/links-6-12-2025.html
usaid funding,TheWrap,Sean Burch,"House Republicans Vote to Slash $1.1 Billion in PBS, NPR Funds","President Trump moves a step closer to clawing back tax dollars previously earmarked for public broadcasters, who he has called ""radical left monsters"" 
The post House Republicans Vote to Slash $1.1 Billion in PBS, NPR Funds appeared first on TheWrap.",The House of Representatives voted 214-212 on Thursday to cut $1.1 billion in funding that had previously been approved for public broadcasters like National Public Radio and Public Broadcasting Syst… [+3741 chars],2025-06-12T20:08:16Z,https://www.thewrap.com/house-republicans-vote-slash-pbs-npr-funds/
usaid funding,Raw Story,Matthew Chapman,Trump to raid foreign aid budget he promised to cut for 'self-deportation' payoffs: report,"President Donald Trump will take money out of accounts intended for foreign aid as part of his plan to pay immigrants to leave the country, The Washington Post reported on Tuesday morning.This plan, devised in secret, ""was in development before a related May …","President Donald Trump will take money out of accounts intended for foreign aid as part of his plan to pay immigrants to leave the country, The Washington Postreported on Tuesday morning.
This plan,… [+2075 chars]",2025-05-20T12:53:27Z,https://www.rawstory.com/trump-to-raid-foreign-aid-budget-he-promised-to-cut-for-self-deportation-payoffs-report/
usaid funding,Breitbart News,"Lucas Nolan, Lucas Nolan",Bill Gates Pledges Majority of $200 Billion Donation to Aid Africa,"Creepy Bill Gates, the co-founder of Microsoft and a noted friend of Jeffrey Epstein, has announced that the bulk of his $200 billion philanthropic pledge will be directed towards addressing challenges in Africa over the next 20 years.
The post Bill Gates Ple…","Creepy Bill Gates, the co-founder of Microsoft and a noted friend of Jeffrey Epstein, has announced that the bulk of his $200 billion philanthropic pledge will be directed towards addressing challeng… [+2935 chars]",2025-06-03T15:36:21Z,https://www.breitbart.com/tech/2025/06/03/bill-gates-pledges-majority-of-200-billion-donation-to-aid-africa/
usaid funding,Japan Today,,OpenAI finds more Chinese groups using ChatGPT for malicious purposes,"OpenAI is seeing an increasing number of Chinese groups using its artificial intelligence technology for covert operations, which the ChatGPT maker described in a report released Thursday. While the scope and tactics employed by these groups have expanded, th…","OpenAI is seeing an increasing number of Chinese groups using its artificial intelligence technology for covert operations, which the ChatGPT maker described in a report released Thursday.
While the… [+1927 chars]",2025-06-05T21:41:22Z,https://japantoday.com/category/tech/openai-finds-more-chinese-groups-using-chatgpt-for-malicious-purposes
usaid funding,The Week Magazine,"theweekonlineeditors@futurenet.com (The Week US) , The Week US",Musk: What did he achieve in Washington?,"Elon Musk leaves his government job but not after bruising his image, slashing aid and firing thousands","Elon Musk says it was X Æ A-Xii, his 5-year-old son, who gave him the black eye he sported during last week's farewell Oval Office meeting with President Trump. But that bruise was ""an unmistakable m… [+3961 chars]",2025-06-09T21:20:56Z,https://theweek.com/politics/musk-achieve-washington
usaid funding,New York Post,Ryan King,DeSantis blasts House GOP for failing to codify DOGE cuts: ‘Betrayal of the voters’,"Florida Gov. Ron DeSantis lambasted congressional Republicans for their ""betrayal"" in failing to codify the spending cuts pursued by the Elon Musk-championed Department of Government Efficiency (DOGE).","Florida GOP Gov. Ron DeSantis accused congressional Republicans Tuesday of “betrayal” by failing to codify spending cuts pursued by the Elon Musk-guided Department of Government Efficiency (DOGE).
“… [+3242 chars]",2025-05-27T19:22:11Z,https://nypost.com/2025/05/27/us-news/ron-desantis-blasts-house-gop-for-failing-to-codify-doge-cuts-betrayal-of-the-voters/
usaid funding,CleanTechnica,Carolyn Fortuna,Why Musk Skipped Over US Military Excess In His DOGE Efficiency Goals,"Over Memorial Day Weekend, 37,000 flags planted on Boston Common were a solemn tribute to Massachusetts’ state war dead through the generations. Meanwhile, tens of thousands of Veterans Administration (VA) employees were in shock as they prepared for deep sta…","Over Memorial Day Weekend, 37,000 flags planted on Boston Common were a solemn tribute to Massachusetts’ state war dead through the generations. Meanwhile, tens of thousands of Veterans Administratio… [+7969 chars]",2025-05-29T00:07:38Z,https://cleantechnica.com/2025/05/28/why-musk-skipped-over-us-military-excess-in-his-doge-efficiency-goals/
usaid funding,Givewell.org,GiveWell Staff,Podcast Episode 5: Exploring HIV/AIDS Funding Cuts and Emerging Needs,"Historically, the US government has been a major funder of HIV/AIDS programs through PEPFAR and other initiatives, providing around $5 to $6 billion annually. With anticipated major reductions in US government foreign aid, including potential cuts of 20% to 5…","The US government has historically been a major funder of HIV/AIDS programs, providing around $5 to $6 billion annually through PEPFAR and other initiatives. With anticipated major reductions in US g… [+2573 chars]",2025-06-05T19:12:56Z,https://blog.givewell.org/2025/06/05/podcast-episode-5-exploring-hiv-aids-funding-cuts-and-emerging-needs/
usaid funding,Globalresearch.ca,Jill Clark-Gollub,Nicaragua vs. El Salvador: Daniel Ortega Is No Bukele,"Although Ortega and Bukele are both serving consecutive terms, and a Central American polling firm reports that they enjoy high popularity among their respective populations, the two presidents actually offer a study in contrasts.
The post Nicaragua vs. El Sa…","Opposition media from both Nicaragua and El Salvador, along with the Washington Post, Amnesty International, and Human Rights Watch, all vilify  Nicaraguan President Daniel Ortega by equating him wit… [+14060 chars]",2025-06-12T13:32:49Z,https://www.globalresearch.ca/daniel-ortega-no-bukele/5890635
usaid funding,Globalresearch.ca,Ahmed Adel,US Attempts to Prevent Colombia from Moving Closer to China Through Blackmail,"The rapprochement with China that Colombia’s accession to the Belt and Road Initiative represented did not go unnoticed by the Trump administration.
The post US Attempts to Prevent Colombia from Moving Closer to China Through Blackmail appeared first on Globa…","Colombias overtures toward China have sparked opposition from the United States, which has announced it will cut off funding for projects related to the Asian giant in the South American country. Thi… [+5862 chars]",2025-05-26T12:16:01Z,https://www.globalresearch.ca/us-prevent-colombia-moving-closer-china/5888247
usaid funding,Yahoo Entertainment,Mustafa HAJI ABDINUR with Rose TROUP BUCHANAN in Nairobi,Somalia climate shocks and aid cuts create perfect storm,"After his home in the Somali capital was battered by torrential rains, Mohamed Abdukadir Teesto worries about his future at a time when local and foreign aid...","After his home in the Somali capital was battered by torrential rains, Mohamed Abdukadir Teesto worries about his future at a time when local and foreign aid is vanishing.
The Horn of Africa nation … [+3328 chars]",2025-05-22T06:19:38Z,https://www.yahoo.com/news/somalia-climate-shocks-aid-cuts-061938323.html
usaid funding,Thegatewaypundit.com,Jordan Conradson,"JUST IN: House Votes to Advance DOGE Cuts to NPR, PBS, and USAID – Final Floor Vote Expected This Week","The House of Representatives has advanced a $9.4 billion spending cut package, proposed by President Trump, to be voted on later this week on the House floor.  This includes cuts to National Public Radio (NPR), Public Broadcasting Service (PBS), and the U.S.
…","The House of Representatives has advanced a $9.4 billion spending cut package, proposed by President Trump, to be voted on later this week on the House floor. 
This includes cuts to National Public … [+1571 chars]",2025-06-11T22:30:47Z,https://www.thegatewaypundit.com/2025/06/just-house-votes-advance-doge-cuts-npr-pbs/
usaid funding,Forbes,"Judy Stone, Senior Contributor, 
 Judy Stone, Senior Contributor
 https://www.forbes.com/sites/judystone/","Loss Of MRNA, Bird Flu Vaccines Threatens Our Biosecurity",Robert F. Kennedy Jr's HHS has cancelled Moderna's mRNA bird flu vaccine. That and new restrictions on Covid vaccines puts us at increased risk of deaths and a pandemic.,"NEW YORK - DECEMBER 8: Chickens wait in a cage at the Chicken Market, a live chicken dealer and ... More slaughter house, December 8, 2004 in New York City. Recent outbreaks of the H5N1 strain of bir… [+7573 chars]",2025-05-29T15:29:10Z,https://www.forbes.com/sites/judystone/2025/05/29/loss-of-mrna-bird-flu-vaccines-threatens-our-biosecurity/
